No,Alias,Year,Number of Yellow Sanctions,Number of Red Sanctions,Number of Black Sanction,
78,IndoBuildWave,,,,,
79,EliteFab Indo,,,,,
80,RockSolid Engineers,,,,,
81,IndoMatrix Works,,,,,
82,ProTech Fabrication,,,,,
83,AgileBuilders Indo,,,,,
84,GreenTech Services,,,,,
85,Maximize Indo,,,,,
86,Craftopia Engineers,,,,,
87,IndoFusionBuilders,,,,,
88,ExcelCraft Services,,,,,
89,SwiftFab Indo,,,,,
90,FacilityPlus Solutions,,,,,
91,IndoStructura,,,,,
92,BuildMasters Indo,,,,,
93,ProTech Fabric,,,,,
94,IndoFacilitech,,,,,
95,GlobalWorks Indo,,,,,
96,PowerCore Services,,,,,
97,IndoMatrix Construction,,,,,
98,EquiPro Engineers,,,,,
99,IndoConstructa,,,,,
100,EliteFab Services,,,,,
101,QuantumCraft Indo,,,,,
102,ProSource Energy,,,,,
103,FastBuild Solutions,,,,,
104,CraftWave Indo,,,,,
105,PrimeTech Engineers,,,,,
106,IndoDynamic Group,,,,,
107,StellarBuild,,,,,
108,PetroCraft Services,,,,,
109,IndoConstructive,,,,,
110,QuantumPowerTech,,,,,
111,UrbanFab Works,,,,,
112,EliteTech Indo,,,,,
113,MaxiSource Energy,,,,,
114,WaveTech Solutions,,,,,
115,GreenCraft Indo,,,,,
116,BuildGenius Group,,,,,
117,AgileSource Indo,,,,,
118,PowerPro Engineers,,,,,
119,ExcelWave Solutions,,,,,
120,IndoMegaBuilders,,,,,
121,FuelCraft Services,,,,,
122,FacilityMasters Indo,,,,,
123,SwiftSource Tech,,,,,
124,AdvancedTech Works,,,,,
125,IndoPowerSource,,,,,
126,EquiWave Group,,,,,
127,RockSolid Indo,,,,,
128,QuantumConstruct,,,,,
129,ProTech Services,,,,,
130,IndoDynamic Works,,,,,
131,UrbanWave Tech,,,,,
132,WaveSource Indo,,,,,
133,EliteMegaBuilders,,,,,
134,MaxiTech Engineers,,,,,
135,GreenCraft Solutions,,,,,
136,BuildWave Group,,,,,
137,AgileTech Indo,,,,,
138,PetroSource Services,,,,,
139,FuelGenius Works,,,,,
140,ExcelTech Solutions,,,,,
141,IndoConstructive Group,,,,,
142,StellarWave Indo,,,,,
143,PrimeTech Engineers,,,,,
144,QuantumConstruct,,,,,
145,PowerPro Solutions,,,,,
146,BuildGenius Indo,,,,,
147,AgileCraft Services,,,,,
148,FacilityMasters Group,,,,,
149,IndoMegaBuilders,,,,,
150,WaveTech Works,,,,,
151,ProTech Indo,,,,,
152,GreenCraft Engineers,,,,,
153,SwiftSource Solutions,,,,,
154,MaxiPowerTech,,,,,
155,PetroCraft Group,,,,,
156,UrbanTech Engineers,,,,,
157,ExcelWave Indo,,,,,
158,IndoDynamic Services,,,,,
159,QuantumPower Source Energy,,,,,
160,EliteConstruct Works,,,,,
161,RockSolid Indo,,,,,
162,FuelTech Solutions,,,,,
163,AgileMegaBuilders,,,,,
164,WaveGenius Indo,,,,,
165,StellarTech Engineers,,,,,
166,IndoConstructive Group,,,,,
167,PowerWave Works,,,,,
168,EquiSource Energy,,,,,
169,GreenConstruct Services,,,,,
170,MaxiCraft Indo,,,,,
171,QuantumTech Group,,,,,
172,ProTech Power,,,,,
173,PetroSource Solutions,,,,,
174,AgileDynamic Indo,,,,,
175,ExcelTech Works,,,,,
176,FacilityMasters Engineers,,,,,
177,WavePowerTech,,,,,
178,IndoMegaCraft,,,,,
179,PrimeConstruct Services,,,,,
180,UrbanWave Indo,,,,,
181,EliteTech Works,,,,,
182,QuantumTech Solutions,,,,,
183,RockSolid Group,,,,,
184,BuildGenius Engineers,,,,,
185,ProSource Energy,,,,,
186,SwiftWave Tech,,,,,
187,ExcelConstructive,,,,,
188,FuelCraft Indo,,,,,
189,QuantumPowerTech,,,,,
190,PetroTech Solutions,,,,,
191,WaveTech Engineers,,,,,
192,IndoDynamic Group,,,,,
193,StellarConstruct,,,,,
194,GreenWave Services,,,,,
195,MaxiTech Indo,,,,,
196,FacilityMasters Works,,,,,
197,AgilePowerTech,,,,,
198,PetroSource Group,,,,,
199,EliteConstruct Engineers,,,,,
200,QuantumTech Works,,,,,
201,BuildGenius Solutions,,,,,
202,WaveTech Indo,,,,,
203,RockSolid Tech,,,,,
204,FuelTech Services,,,,,
205,IndoDynamic Group,,,,,
206,SwiftPowerTech,,,,,
207,QuantumConstructive,,,,,
208,PetroWave Engineers,,,,,
209,ProTech Source Energy,,,,,
210,ExcelTech Solutions,,,,,
211,MaxiMegaCraft,,,,,
212,UrbanWave Indo,,,,,
213,EliteConstructive,,,,,
214,QuantumTech Group,,,,,
215,WaveConstruct Tech,,,,,
216,RockSolid Services,,,,,
217,AgileTech Indo,,,,,
218,FacilityMasters Solutions,,,,,
219,ExcelDynamic Works,,,,,
220,FuelTech Engineers,,,,,
221,PetroTech Group,,,,,
222,QuantumTech Tech,,,,,
223,MaxiWave Energy,,,,,
224,ProSource Works,,,,,
225,RockSolid Indo,,,,,
226,QuantumPowerTech,,,,,
227,PetroSource Solutions,,,,,
228,AgileConstructive,,,,,
229,FuelWave Tech,,,,,
230,IndoDynamic Engineers,,,,,
231,EliteTech Group,,,,,
232,BuildGenius Services,,,,,
233,QuantumConstruct,,,,,
234,ExcelPowerTech,,,,,
235,MaxiTech Indo,,,,,
236,FacilityMasters Works,,,,,
237,ProTech Source Energy,,,,,
238,QuantumTech Solutions,,,,,
239,WaveConstruct Engineers,,,,,
240,RockSolid Tech,,,,,
241,FuelTech Group,,,,,
242,AgileConstructive,,,,,
243,PetroWave Indo,,,,,
244,Kanaya Services,,,,,
245,PutraNusa Indo,,,,,
246,BangunMerta,,,,,
247,Valve SuccesIndo,,,,,
248,Jaya Drilling,,,,,
249,Perdana Fabrication,,,,,
250,Alamindo Makmur,,,,,
